column,missing_fraction
Pressure9am,0.09855618771669492
Pressure3pm,0.09832410878172625
WindDir9am,0.07041837502549352
WindGustDir,0.06561504434114197
WindGustSpeed,0.06519308264119894
WindDir3pm,0.026569521706413114
Humidity3pm,0.025388028946572615
Temp3pm,0.0191711265674119
WindSpeed3pm,0.018495987847503042
Humidity9am,0.01247600092831574
Rainfall,0.009887969168665123
RainToday,0.009887969168665123
WindSpeed9am,0.00948007285872019
Temp9am,0.00635755627914173
MinTemp,0.004479826714395224
MaxTemp,0.002264527789694289
Date,0.0
Location,0.0
RainTomorrow,0.0
