run,threshold,selection_metric,C,class_weight,penalty,roc_auc,accuracy,precision,recall,f1
10,0.5,roc_auc,10.0,balanced,l2,0.8553747652024899,0.8006845461365342,0.5083547557840618,0.7265212399540758,0.59816617827772
8,0.5,roc_auc,3.0,balanced,l2,0.8553724788671249,0.8007314328582146,0.5084364454443194,0.7265212399540758,0.5982227264133106
6,0.5,roc_auc,1.0,balanced,l2,0.8553661474768836,0.8007314328582146,0.5084364454443194,0.7265212399540758,0.5982227264133106
4,0.5,roc_auc,0.3,balanced,l2,0.855348830854001,0.8007314328582146,0.5084337349397591,0.7267508610792193,0.5982986767485823
2,0.5,roc_auc,0.1,balanced,l2,0.855289399663124,0.8007314328582146,0.5084364454443194,0.7265212399540758,0.5982227264133106
9,0.5,roc_auc,10.0,,l2,0.8537926346585578,0.8523068267066767,0.722406792174234,0.44936854190585535,0.5540770101925255
7,0.5,roc_auc,3.0,,l2,0.8537892254484278,0.8523068267066767,0.722406792174234,0.44936854190585535,0.5540770101925255
5,0.5,roc_auc,1.0,,l2,0.853782217627605,0.8523537134283571,0.7226735598227474,0.44936854190585535,0.5541554580206711
3,0.5,roc_auc,0.3,,l2,0.8537581908133558,0.8523068267066767,0.722571111932028,0.4491389207807118,0.5539507221750213
1,0.5,roc_auc,0.1,,l2,0.8536902907116002,0.8524474868717179,0.7232076866223208,0.44936854190585535,0.5543124203370627
